pitch_type,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,at_bat_number,pitch_number,home_score,away_score,bat_score,fld_score,stand_L,stand_R,p_throws_L,p_throws_R,inning_topbot_Bot,inning_topbot_Top,if_fielding_alignment_Infield shift,if_fielding_alignment_Standard,if_fielding_alignment_Strategic,of_fielding_alignment_4th outfielder,of_fielding_alignment_Standard,of_fielding_alignment_Strategic
SL,0,0,0,1,1,2,9,77,1,7,5,5,7,0,1,1,0,0,1,0,1,0,0,1,0
FF,0,0,0,1,0,2,9,76,1,7,5,5,7,0,1,1,0,0,1,0,1,0,0,1,0
FF,0,0,0,1,0,2,9,75,1,7,4,4,7,1,0,1,0,0,1,0,1,0,0,1,0
SL,0,0,0,1,0,1,9,74,1,7,4,4,7,0,1,1,0,0,1,0,1,0,0,1,0
FF,0,0,0,0,1,0,9,73,1,7,4,4,7,0,1,1,0,0,1,0,1,0,0,1,0
FF,0,0,0,0,0,0,9,72,1,7,4,4,7,0,1,1,0,0,1,0,1,0,0,1,0
FF,0,0,0,0,0,0,9,71,1,7,3,3,7,0,1,1,0,0,1,0,1,0,0,1,0
SI,0,0,0,0,1,2,8,70,1,7,3,7,3,1,0,1,0,1,0,0,1,0,0,1,0
SI,0,0,0,1,0,2,8,69,1,6,3,6,3,0,1,1,0,1,0,0,1,0,0,1,0
SI,0,0,0,1,0,1,8,68,1,6,3,6,3,0,1,1,0,1,0,0,1,0,0,1,0
SI,0,0,0,1,0,1,8,67,1,5,3,5,3,0,1,1,0,1,0,0,1,0,0,1,0
SI,0,0,1,0,1,0,8,66,1,4,3,4,3,1,0,1,0,1,0,0,0,1,0,1,0
FS,0,0,0,0,1,0,8,65,1,4,3,4,3,0,1,0,1,1,0,1,0,0,0,1,0
FF,0,0,0,0,0,0,8,64,1,4,3,4,3,0,1,0,1,1,0,0,0,1,0,1,0
SI,0,0,0,0,0,2,8,63,1,4,3,3,4,0,1,1,0,0,1,0,1,0,0,1,0
SI,0,0,0,0,0,1,8,62,1,4,3,3,4,0,1,1,0,0,1,0,1,0,0,0,1
SI,0,0,0,0,0,0,8,61,1,4,3,3,4,0,1,1,0,0,1,0,1,0,0,1,0
