pitch_type,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,at_bat_number,pitch_number,home_score,away_score,bat_score,fld_score,stand_L,stand_R,p_throws_L,p_throws_R,inning_topbot_Bot,inning_topbot_Top,if_fielding_alignment_Infield shift,if_fielding_alignment_Standard,if_fielding_alignment_Strategic,of_fielding_alignment_4th outfielder,of_fielding_alignment_Standard,of_fielding_alignment_Strategic,pitcher_545333,pitcher_571578,pitcher_572971,pitcher_596001,pitcher_605400
SI,1,2,0,0,0,0,8,55,4,1,3,3,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
CH,1,1,0,0,0,0,8,55,3,1,3,3,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
CH,1,0,0,0,0,0,8,55,2,1,3,3,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
SI,0,0,0,0,0,0,8,55,1,1,3,3,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
CU,0,0,0,0,0,0,8,54,1,1,2,2,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0
SL,0,2,0,0,0,2,7,50,3,1,2,2,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
SL,0,1,0,0,0,2,7,50,2,1,2,2,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
CU,0,0,0,0,0,2,7,50,1,1,2,2,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
SL,2,2,0,0,0,1,7,49,5,1,2,2,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
FF,1,2,0,0,0,1,7,49,4,1,2,2,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
FF,1,1,0,0,0,1,7,49,3,1,2,2,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
SI,0,1,0,0,0,1,7,49,2,1,2,2,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
FF,0,0,0,0,0,1,7,49,1,1,2,2,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
CH,1,2,0,0,0,0,7,48,4,1,2,2,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
SL,0,2,0,0,0,0,7,48,3,1,2,2,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
CU,0,1,0,0,0,0,7,48,2,1,2,2,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
SI,0,0,0,0,0,0,7,48,1,1,2,2,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
